id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg46918493,https://bitcointalk.org/index.php?topic=5050797.0,,103,Announcements (Altcoins),2018-10-15 15:25:06,TradingForest,Newbie,6,0,,"⚡⚡ ""Trading Forest Exchange"" [ICO STAGE ONE] ⚡⚡","""Trading Forest"" ----------------------------------------------- New Cryptocurrency Exchange  https://image.ibb.co/b8mNwV/Bitcoin-Talk.png   Invest in TDF Tokens and receive a percentage of the Trading Forest Exchange utilities.     ------------------------------------------------------------------  Smart Contract Source Code Verified! See it on Etherscan! https://etherscan.io/address/0x7E3E49CC64cf9f3Ef0563B15f9d90d0eDC8385Ab  ------------------------------------------------------------------    OFICIAL WEBSITE  English - Spanish   ---------------------------------------   PROJECT OVERVIEW   White Paper / Papel Blanco: English -Spanish  About TDF Token / Sobre TDF Token English - Spanish   ---------------------------------------  TOKEN INFORMATION  Token Name: ""Trading Forest"" Symbol: ""TDF"" Decimals: ""18""  ---------------------------------------  TOTAL SUPPLY AND DISTRIBUTION  - Total supply: 500.000.000 ""TDF"" Tokens  99% of TDF Tokens wil be burned. - Maximum Supply after the burn stage: 5.000.000 ""TDF"" Tokens  - Available for ICO: 2.500.000 ""TDF"" Tokens  ---------------------------------------  There are only 2.500.000 TDFs available for the ICO stage, representing 50% of the Trading Forest profits and will be offered to investors. Once the ICO is completed, the same amount as that sold in the ICO will be saved, representing the other 50% of the profits of Trading Forest. The remaining coins will be burned. The maximum amount of coins available after the ICO is 5.000.000 but could be even less depending on the amount sold during the ICO. No more TDF Tokens will be created.  ---------------------------------------  Funds Distribution:   - Exchange Development: 85% - Legal and Financial Expense: 5% - Marketing: 10%  ---------------------------------------  TDF Tokens Distribution:   - Tokens Burnt: 99% - ICO: 0,5% - Trading Forest: 0,5%   In the same way as investors, Trading Forest Exchange must save their tokens in order to receive a percentage of the profits of the company.  ---------------------------------------  CONTRIBUTION INFORMATION / INFORMACIÓN PARA CONTRIBUIR  Smart Contract Address 0x7E3E49CC64cf9f3Ef0563B15f9d90d0eDC8385Ab  1 ETH = 400 ""TDF"" Tokens  ICO Stage One Live / Primera Etapa de Venta Activa To buy TDF Tokens please go to our official website: Buy TDF Token Para comprar TDF Tokens diríjase a nuestro sitio oficial: Comprar TDF Token   ***Attention: Do not contribute from an exchange, use myetherwallet, mycrypto or Mist*** ***Atención: No contribuya desde un exchange, utilice myetherwallet, mycrypto o Mist***  Tokens are sent to the ETH contribution wallet automatically Los Tokens serán enviadas a su billetera ethereum automaticamente  ---------------------------------------  SOCIAL  Follow us on / Síguenos en: Twitter  Follow us on / Síguenos en: Facebook  ---------------------------------------  If you have any questions, you can contact us at any of the following emails: Si tiene alguna consulta puede contactarnos a los siguientes emails:  info@tradingforest.com / ico@tradingforest.com",False
2,msg47289308,https://bitcointalk.org/index.php?topic=5050797.0,,103,Announcements (Altcoins),2018-10-26 12:56:59,TradingForest,Newbie,6,0,,"⚡⚡ ""Trading Forest Exchange"" [ICO STAGE ONE] ⚡⚡",Bounty Program Live! ,False
3,msg47302465,https://bitcointalk.org/index.php?topic=5050797.0,,103,Announcements (Altcoins),2018-10-26 20:10:30,nimogsm,Hero Member,1162,523,,"⚡⚡ ""Trading Forest Exchange"" [ICO STAGE ONE] ⚡⚡","What is the difference between other projects and yours? It is so strange that you are making an announcement, but the site is not in English. There are also no pictures and team.",False
4,msg47302767,https://bitcointalk.org/index.php?topic=5050797.0,,103,Announcements (Altcoins),2018-10-26 20:24:17,thinkme1st,Member,532,10,,"⚡⚡ ""Trading Forest Exchange"" [ICO STAGE ONE] ⚡⚡",It would be better if you update the website and whitepaper in English language asap so people like me who don't know Spanish can get more information regarding your project.,False
5,msg47304339,https://bitcointalk.org/index.php?topic=5050797.0,,103,Announcements (Altcoins),2018-10-26 21:40:02,Praetorian.1legion,Full Member,476,121,,"⚡⚡ ""Trading Forest Exchange"" [ICO STAGE ONE] ⚡⚡","I looked at the site - the picture is not bad. But, did not understand in what language the site is decorated? Is the possibility the same, but in English?",False
6,msg47304344,https://bitcointalk.org/index.php?topic=5050797.0,,103,Announcements (Altcoins),2018-10-26 21:40:25,altgangster,Newbie,29,0,,"⚡⚡ ""Trading Forest Exchange"" [ICO STAGE ONE] ⚡⚡",ready for arrest ?,False
7,msg47305627,https://bitcointalk.org/index.php?topic=5050797.0,,103,Announcements (Altcoins),2018-10-26 23:05:49,TradingForest,Newbie,6,0,,"⚡⚡ ""Trading Forest Exchange"" [ICO STAGE ONE] ⚡⚡",The site is in Spanish. It will soon be translated into English.  A bounty is being offered for English translation.  Best Regards,False
8,msg47459406,https://bitcointalk.org/index.php?topic=5050797.0,msg47304339,103,Announcements (Altcoins),2018-10-31 15:54:14,TradingForest,Newbie,6,0,,"⚡⚡ ""Trading Forest Exchange"" [ICO STAGE ONE] ⚡⚡",   Website Updated! Now in English and Spanish languajes! ,False
9,msg47460218,https://bitcointalk.org/index.php?topic=5050797.0,,103,Announcements (Altcoins),2018-10-31 16:19:25,TradingForest,Newbie,6,0,,"⚡⚡ ""Trading Forest Exchange"" [ICO STAGE ONE] ⚡⚡",Also White Paper were Translated: Now in English and Spanish languajes. ,False
10,msg47528437,https://bitcointalk.org/index.php?topic=5050797.0,,103,Announcements (Altcoins),2018-11-02 19:49:19,dzkrb,Sr. Member,672,250,,"⚡⚡ ""Trading Forest Exchange"" [ICO STAGE ONE] ⚡⚡",One picture is not enough to get an idea of your interface on a crypto-exchange. I would like to know. Will there be an opportunity to trade short on your exchange?,False
11,msg47641713,https://bitcointalk.org/index.php?topic=5050797.0,msg47528437,103,Announcements (Altcoins),2018-11-06 12:49:58,TradingForest,Newbie,6,0,,"⚡⚡ ""Trading Forest Exchange"" [ICO STAGE ONE] ⚡⚡","   Yes, it will be possible. Please Check Website for more information. Regards",False
